gene	log2FoldChange	pvalue	padj	high_expression	median_expression	group
AFFX-hum_alu_at	8.63432161517466	0.693022836397402	0.177716492705978	TRUE	14.9891866334465	Single Group Analysis
AFFX-CreX-3_at	8.31506284635747	0.19480329483794	0.712870798618998	TRUE	14.6699278646293	Single Group Analysis
31962_at	8.30529535924634	0.240836763884872	0.734724014638457	TRUE	14.6601603775182	Single Group Analysis
40887_g_at	8.07911784177679	0.414123502978124	0.244045921336859	TRUE	14.4339828600486	Single Group Analysis
1288_s_at	8.06280186919163	0.199648664255161	0.463996423441917	TRUE	14.4176668874634	Single Group Analysis
37407_s_at	8.0227213878666	0.172633283555042	0.465801094907336	TRUE	14.3775864061384	Single Group Analysis
AFFX-CreX-5_at	7.75615710652227	0.391573663712479	0.236312054890208	TRUE	14.1110221247941	Single Group Analysis
34608_at	7.66170646715426	0.574803255322389	0.0702180706560612	TRUE	14.0165714854261	Single Group Analysis
32466_at	7.61764193771847	0.535494063355029	0.129089230024721	TRUE	13.9725069559903	Single Group Analysis
1804_at	7.59343113527798	0.974291674778331	0.859501950253733	TRUE	13.9482961535498	Single Group Analysis
32438_at	7.5160767656706	0.649222335345577	0.247618057754356	TRUE	13.8709417839424	Single Group Analysis
35905_s_at	7.51531519874168	0.662918379356153	0.357668007642496	TRUE	13.8701802170135	Single Group Analysis
31957_r_at	7.50811077085093	0.755107247489039	0.984293119984213	TRUE	13.8629757891227	Single Group Analysis
32755_at	7.47751585008475	0.547514380573295	0.462842975984793	TRUE	13.8323808683566	Single Group Analysis
767_at	7.45025806496852	0.271712750742212	0.603449166896287	TRUE	13.8051230832403	Single Group Analysis
AFFX-HSAC07/X00351_3_at	7.44040850556223	0.749603535329923	0.729964632347692	TRUE	13.795273523834	Single Group Analysis
34593_g_at	7.40917403103396	0.604457385774702	0.916225052206777	TRUE	13.7640390493058	Single Group Analysis
36931_at	7.37405424372451	0.694054130048025	0.685484104021452	TRUE	13.7289192619963	Single Group Analysis
AFFX-HSAC07/X00351_M_at	7.364145936883	0.0104130238755606	0.725979883572087	TRUE	13.7190109551548	Single Group Analysis
31956_f_at	7.34170188898301	0.212379213174805	0.0215733297131956	TRUE	13.6965669072548	Single Group Analysis
32334_f_at	7.27181445792693	0.28638673879765	0.911312750056386	TRUE	13.6266794761987	Single Group Analysis
256_s_at	7.22369364381251	0.435614390189294	0.339959135639481	TRUE	13.5785586620843	Single Group Analysis
2016_s_at	7.20908275214938	0.848526654344518	0.38094051315682	TRUE	13.5639477704212	Single Group Analysis
32330_at	7.19815016086997	0.623178657366894	0.179462984162383	TRUE	13.5530151791418	Single Group Analysis
33994_g_at	7.14214097604697	0.686088709108066	0.644552486535627	TRUE	13.4970059943188	Single Group Analysis
31385_at	7.1314679684495	0.48962877055537	0.607606195020024	TRUE	13.4863329867213	Single Group Analysis
33116_f_at	7.12945124164733	0.310393693788908	0.736562796353828	TRUE	13.4843162599191	Single Group Analysis
31545_at	7.10616654321208	0.744578706951346	0.426673212688416	TRUE	13.4610315614839	Single Group Analysis
32412_at	7.06052936957085	0.600899793778546	0.139817649526056	TRUE	13.4153943878427	Single Group Analysis
34085_at	7.05869454800855	0.143226603452116	0.416411995747592	TRUE	13.4135595662804	Single Group Analysis
32318_s_at	7.05733442901052	0.318626763171982	0.919887891830411	TRUE	13.4121994472823	Single Group Analysis
35278_at	7.04044553857852	0.100865931565408	0.755363434064668	TRUE	13.3953105568503	Single Group Analysis
676_g_at	7.00475804626883	0.452206020684913	0.625404101616237	TRUE	13.3596230645406	Single Group Analysis
34643_at	7.000997708045	0.0663851057076827	0.837755404864904	TRUE	13.3558627263168	Single Group Analysis
