gene	log2FoldChange	pvalue	padj	high_expression	median_expression	group
207783_x_at	7.2744809324849	0.877126946630888	0.341608005222399	TRUE	13.3619437737352	Single Group Analysis
212869_x_at	7.21374753004809	0.45516210780805	0.926728896529414	TRUE	13.3012103712984	Single Group Analysis
208825_x_at	7.1844378311412	0.110708473745734	0.90453148267651	TRUE	13.2719006723915	Single Group Analysis
208834_x_at	7.17110319263959	0.0213766013863496	0.439262231815141	TRUE	13.2585660338899	Single Group Analysis
200801_x_at	7.11266947331442	0.991591013723984	0.282478740408085	TRUE	13.2001323145648	Single Group Analysis
212284_x_at	7.10174399334669	0.0534306933432817	0.351301525000948	TRUE	13.189206834597	Single Group Analysis
221798_x_at	7.08543340461946	0.239720535721164	0.93622973810276	TRUE	13.1728962458698	Single Group Analysis
201429_s_at	7.0846520912828	0.437713182510808	0.660251938669011	TRUE	13.1721149325331	Single Group Analysis
213084_x_at	7.08371395640143	0.121018207565416	0.743625544864219	TRUE	13.1711767976518	Single Group Analysis
211542_x_at	7.07885718401664	0.751427187761292	0.720488388001919	TRUE	13.166320025267	Single Group Analysis
213867_x_at	7.05831012819876	0.455762960200198	0.877766636041459	TRUE	13.1457729694491	Single Group Analysis
210646_x_at	7.02660480591492	0.693747152669821	0.995898793974426	TRUE	13.1140676471653	Single Group Analysis
AFFX-hum_alu_at	7.00760446035672	0.456657017233316	0.21478780378541	TRUE	13.0950673016071	Single Group Analysis
206559_x_at	6.9769431206407	0.527011634976603	0.137355256430339	TRUE	13.064405961891	Single Group Analysis
203107_x_at	6.97340193531316	0.811345149516594	0.00928987053828314	TRUE	13.0608647765635	Single Group Analysis
212581_x_at	6.93316992040737	0.768304112729151	0.47141407762887	TRUE	13.0206327616577	Single Group Analysis
201492_s_at	6.9265576290646	0.676276086475235	0.277758451201953	TRUE	13.0140204703149	Single Group Analysis
215121_x_at	6.92393914862972	0.720739435825963	0.612516759545077	TRUE	13.0114019898801	Single Group Analysis
